date,AAPL,GOOGL,MSFT,SPY,EEM,XLF,XLE
2006-11-30 00:00:00+00:00,11.4258982418,243.1555980371,21.9495580439,107.7483163657,28.3623551584,22.2948006575,45.6671064875
2006-12-29 00:00:00+00:00,10.5757495836,230.9529295686,22.3233584193,109.2426929231,29.9061580762,23.1334206953,44.381487444
2007-01-31 00:00:00+00:00,10.6866927369,251.5264380182,23.0709591701,110.8309486039,29.9402108094,23.3475024328,43.9727205462
2007-02-28 00:00:00+00:00,10.5470788811,225.4208525769,21.1325085077,108.6567345165,28.7483651473,22.6359954817,43.0719194195
2007-03-30 00:00:00+00:00,11.5817172774,229.7893376719,20.907455169,109.9173766975,30.5164878329,22.529356961,45.7817521104
2007-04-30 00:00:00+00:00,12.4405918016,236.4198052902,22.4603232063,114.7862520456,31.6533252337,23.401950635,48.1285605712
2007-05-31 00:00:00+00:00,15.1070917938,249.7253783195,23.0975397637,118.679804192,33.2145120791,23.9647103234,51.8728213195
2007-06-29 00:00:00+00:00,15.2129240828,262.1593106775,22.1792857253,116.9414785743,34.4849409717,23.0016742407,52.5468812991
2007-07-31 00:00:00+00:00,16.4245729035,255.7895979846,21.8180350586,113.2800123502,34.7259295451,20.9163925516,52.554497893
2007-08-31 00:00:00+00:00,17.2622560389,258.4227261992,21.6988427843,114.7337123912,35.0874124053,21.4567856723,53.1866751865
2007-09-28 00:00:00+00:00,19.1308379137,284.5132651936,22.2501882501,119.1738107129,39.1475459796,21.9802251852,57.120882059
2007-10-31 00:00:00+00:00,23.6782606484,354.5945995591,27.8014062962,120.7906005161,43.7944343415,21.6023600087,58.5718135552
2007-11-30 00:00:00+00:00,22.7146757323,347.5729243203,25.4580028659,116.1120638392,40.4441692824,19.8539330053,56.1052300117
2007-12-31 00:00:00+00:00,24.6917076558,346.8105710087,26.9733601794,114.7962620735,39.8668014563,18.693615399,60.7473901425
2008-01-31 00:00:00+00:00,16.873331726,283.0236669465,24.7003242092,107.8555674785,36.3098233623,18.8293104987,53.2831550588
2008-02-29 00:00:00+00:00,15.5843966636,236.3194956439,20.6892581787,105.0682975903,37.0339508937,16.6904972609,58.2210336526
2008-03-31 00:00:00+00:00,17.8880252858,220.9169494594,21.5868862427,104.1193816583,35.6440504304,16.1911000011,56.8599540918
2008-04-30 00:00:00+00:00,21.6837769928,288.0341337777,21.6933754631,109.0819558087,38.901298081,17.3238910747,62.763991993
2008-05-30 00:00:00+00:00,23.5286743742,293.8069539204,21.6208160806,110.7308874422,40.1320496363,16.1194867723,66.0269518214
2008-06-30 00:00:00+00:00,20.8722714554,264.0250199433,21.0024240953,101.4849650773,36.4038464352,13.3085752709,68.1119070468
2008-07-31 00:00:00+00:00,19.8139485657,237.6084745985,19.6358541523,100.5730436065,34.4002208525,14.2085134802,57.273122562
2008-08-29 00:00:00+00:00,21.1328008829,232.3622800986,20.9183527195,102.0479774637,32.227575325,14.0245845031,57.3501025654
